02-02-2020 15:51:39.728,-,AT," ,0013A20040F7BEFB,XBEE 802.15.4, 347.00  347.00  347.00  347.00  347.00  347.00  347.00  347.00  347.00  347.00  347.68  347.68  347.68  347.68  347.00  347.00  347.00  347.00  347.88  347.88  347.88  347.88  347.00  347.00  347.00  347.00  347.78  347.78  347.78  347.78  347.68  347.68  347.68  347.68  348.18  348.18  348.18  348.18  347.09  347.09  347.09  347.09  347.68  347.68  347.68  347.68  347.78  347.78  347.78  347.78,COM4 - 9600/8/N/1/N,1"
02-02-2020 15:52:02.331,4502,RECV,0A3332312E30350D0A3332302E36310D0A3332302E36310D0A3332302E36310D0A3332302E36310D0A3331392E37340D0A3331392E37340D0A3331392E37
02-02-2020 15:52:02.394,4503,RECV,340D0A3331392E37340D0A3331382E34350D0A3331382E34350D0A333138
02-02-2020 15:52:02.519,4504,RECV,0A3331362E36360D0A3331362E36360D0A3331362E36360D0A3331362E36360D0A33
02-02-2020 15:52:02.582,4505,RECV,31362E36360D0A3331362E36360D0A3331362E36360D0A3331362E36360D0A3331332E37310D0A3331342E31350D0A3331342E31350D0A3331342E3135
02-02-2020 15:52:02.644,4506,RECV,0D0A3331332E34340D0A3331332E34340D0A3331332E34340D0A3331332E34340D0A3331332E37370D0A3331332E37370D0A3331332E37370D0A3331332E
02-02-2020 15:52:02.722,4507,RECV,37370D0A3331332E35320D0A3331332E35320D0A3331332E35320D0A3331332E35320D0A3331342E30370D
02-02-2020 15:52:02.831,4508,RECV,2E37380D0A3332312E37380D0A3332312E37380D0A3332332E35370D0A3332332E35370D0A3332332E35370D0A3332
02-02-2020 15:52:02.883,4509,RECV,332E35370D0A3331372E33320D0A3331372E33320D0A3331372E33320D0A3331372E33320D0A3331382E32360D0A
02-02-2020 15:52:02.945,4510,RECV,3331382E32360D
02-02-2020 15:52:03.008,4511,RECV,2E35370D0A3331392E3537
02-02-2020 15:52:03.070,4512,RECV,0D0A3331392E35370D0A3331392E35370D0A3331392E35370D0A3331392E35370D0A3331392E35370D0A3331392E35370D0A3331392E35370D0A333139
02-02-2020 15:52:03.149,4513,RECV,2E35370D0A3331392E35370D0A3331392E35370D0A3331392E35370D
02-02-2020 15:52:03.321,4514,RECV,0A3331392E39330D
02-02-2020 15:52:03.383,4515,RECV,0A3331392E39330D0A3331392E39330D0A3331392E39330D0A3331392E31380D0A3331392E31380D0A3331392E31380D0A3331392E31380D0A3332332E32
02-02-2020 15:52:03.445,4516,RECV,370D0A3332332E32370D0A3332332E32370D0A3332332E32370D0A3331372E32360D0A3331372E32360D0A3331372E32360D0A3331372E32360D0A3331
02-02-2020 15:52:03.508,4517,RECV,362E35320D0A3331362E35320D0A3331362E35320D0A3331362E35320D0A3331362E35320D0A3331362E35320D0A3331362E35320D0A3331362E35320D0A
02-02-2020 15:52:03.570,4518,RECV,3331362E35320D0A3331362E35320D0A3331362E35320D0A3331362E35320D0A3331362E35320D0A3331362E35320D0A3331362E35320D0A
02-02-2020 15:52:03.633,4519,RECV,3331362E35320D0A3331362E35320D0A3331362E35320D0A3331362E35320D0A3331332E34330D0A3331332E32310D0A3331332E32310D0A3331332E32
02-02-2020 15:52:03.727,4520,RECV,310D0A3331322E37340D0A3331322E38360D0A3331322E38360D0A3331322E38360D0A3331322E30350D0A3331322E30350D0A3331322E30350D0A333132
02-02-2020 15:52:03.758,4521,RECV,2E30350D0A3331312E34380D0A3331312E34380D0A3331312E34380D
02-02-2020 15:52:03.883,4522,RECV,2E39310D0A3331302E33330D0A3331302E33330D0A3331302E33330D0A3331302E33330D0A3330392E39390D0A33
02-02-2020 15:52:03.945,4523,RECV,30392E39390D0A3330392E39390D0A3330392E39390D0A3331302E30310D0A3331302E30310D0A3331302E30310D0A3331302E30310D0A3331302E32330D
02-02-2020 15:52:04.023,4524,RECV,0A3331302E32330D0A3331302E32330D0A3331302E32330D0A3331302E33350D0A3331302E33350D0A3331302E33350D0A3331302E33350D0A3331302E
02-02-2020 15:52:04.070,4525,RECV,33350D0A3331302E33350D0A3331302E33350D0A3331302E33350D0A333130
02-02-2020 15:52:04.195,4526,RECV,0A3331302E33350D0A3331302E33350D0A3331302E33350D0A3331322E32370D0A3331322E32370D0A3331322E32370D0A3331322E32370D0A333132
02-02-2020 15:52:04.258,4527,RECV,2E32370D0A3331322E32370D0A3331322E32370D0A3331322E32370D0A3331322E35300D0A333132
02-02-2020 15:52:04.383,4528,RECV,0A3331372E34320D0A3331372E34320D0A3331322E30350D0A3331322E30350D0A3331322E3035
02-02-2020 15:52:04.445,4529,RECV,0D0A3331322E30350D0A3331372E38330D0A3331372E38330D0A3331372E38330D0A3331372E38330D0A3331312E38330D0A3331312E38330D0A333131
02-02-2020 15:52:04.570,4530,RECV,0A3331
02-02-2020 15:52:04.633,4531,RECV,312E39340D0A3331312E39340D0A3331312E39340D0A3331312E39340D0A3331312E39340D0A3331312E39340D0A3331312E39340D0A3331312E39340D
02-02-2020 15:52:04.711,4532,RECV,0A3331332E37370D0A3331322E39390D0A3331322E39390D0A3331322E39390D0A3331332E37310D0A3331332E34390D0A3331332E34390D0A3331332E34
02-02-2020 15:52:04.758,4533,RECV,390D0A3331342E33330D0A3331342E33330D0A3331342E33330D0A3331342E33330D0A3331342E33330D0A3331342E33330D0A3331342E33330D0A3331
02-02-2020 15:52:04.820,4534,RECV,342E33330D0A3331342E30380D
02-02-2020 15:52:04.883,4535,RECV,2E31370D0A3331342E31370D0A333134
02-02-2020 15:52:04.945,4536,RECV,2E31370D0A3331342E32380D0A3331342E32380D0A3331342E32380D0A3331342E32380D0A3331342E30320D0A3331342E30320D0A3331342E30320D0A
02-02-2020 15:52:05.007,4537,RECV,3331342E30320D0A3331392E37300D0A3331392E37300D0A3331392E37300D0A3331392E37300D0A3331392E37300D0A3331392E37300D0A3331392E3730
02-02-2020 15:52:05.070,4538,RECV,0D0A3331392E37300D0A3331392E37300D0A3331392E37300D0A3331392E37300D0A3331392E37300D0A3331392E37300D0A3331392E37300D0A333139
