01-07-2020 18:25:52.679,-,AT," ,0013A20040F7BEFB,XBEE 802.15.4,10EF,COM4 - 9600/8/N/1/N,1"
01-07-2020 18:25:34.099,1441,RECV,0A39332E37380D0A39332E37380D0A39332E37380D0A39332E34320D0A39332E34320D0A39332E34320D0A39332E
01-07-2020 18:25:34.099,1442,RECV,34320D0A39332E34320D0A39332E31370D0A39332E31370D0A39332E31370D0A39332E31370D0A39322E39320D0A
01-07-2020 18:25:34.123,1443,RECV,39322E39320D0A39322E39320D0A39322E39320D0A39322E39320D0A39322E34320D0A39322E34320D0A39322E34
01-07-2020 18:25:34.175,1444,RECV,320D0A39322E34320D0A39322E33310D0A39322E33310D0A39322E33310D0A39322E33310D0A39322E33310D0A39322E35340D0A39322E35340D0A39322E
01-07-2020 18:25:34.283,1445,RECV,35340D0A39322E35340D0A39322E31370D0A39322E31370D0A39322E31370D0A39322E31370D0A39322E31370D0A
01-07-2020 18:25:34.283,1446,RECV,39312E38310D0A39312E38310D0A39312E38310D0A39312E38310D0A39312E38310D0A39312E38310D0A39312E38
01-07-2020 18:25:34.331,1447,RECV,310D0A39312E38310D0A39312E38310D0A39322E36370D0A39322E36370D0A39322E36370D0A39322E36370D0A39
01-07-2020 18:25:34.463,1448,RECV,322E36370D0A39322E36370D0A39322E36370D0A39322E36370D0A39322E36370D0A39322E36370D0A39322E36370D0A39322E36370D0A39322E36370D0A
01-07-2020 18:25:34.463,1449,RECV,39322E36370D0A39322E36370D0A39322E36370D0A39322E36370D0A39322E36370D0A39322E
01-07-2020 18:25:34.539,1450,RECV,0D0A39352E33360D0A3935
01-07-2020 18:25:34.647,1451,RECV,2E33360D0A39352E38340D0A39352E38340D0A39352E38340D0A39352E38340D0A39352E38340D0A39362E30390D0A39362E30390D0A39362E30390D0A
01-07-2020 18:25:34.647,1452,RECV,39362E30390D0A39362E34340D0A39362E34340D0A39362E34340D0A39362E34340D0A39
01-07-2020 18:25:34.695,1453,RECV,362E34340D0A39362E34360D0A39362E34360D0A39362E34360D0A39362E34360D0A39362E35370D0A39362E3537
01-07-2020 18:25:34.835,1454,RECV,0D0A39362E35370D0A39362E35370D0A39362E35370D0A39362E38310D0A39362E38310D0A39362E38310D0A3936
01-07-2020 18:25:34.835,1455,RECV,2E38310D0A39362E38310D0A39362E38310D0A39362E38310D0A39362E38310D0A39362E38310D0A39362E35370D0A39362E35370D0A39362E35370D0A39
01-07-2020 18:25:34.851,1456,RECV,362E35370D0A39362E35370D0A39362E35370D0A39362E35370D0A39362E35370D0A39362E35370D0A39362E3537
01-07-2020 18:25:34.903,1457,RECV,0D0A39362E35370D0A39362E35370D0A39362E35370D0A39362E35370D0A39362E35370D0A39362E35370D0A3936
01-07-2020 18:25:35.012,1458,RECV,2E35370D0A39362E35370D0A39362E33330D0A39362E33330D0A39362E33330D0A39362E33330D0A39362E32320D
01-07-2020 18:25:35.012,1459,RECV,0A39362E32320D0A39362E32320D0A39362E32320D0A39362E32320D0A39362E32320D0A39362E32320D0A39362E32320D0A39362E32320D0A39352E3336
01-07-2020 18:25:35.059,1460,RECV,0D0A39352E33360D0A39352E33360D0A39352E33360D0A39352E37330D0A39352E37330D0A39352E37330D0A3935
01-07-2020 18:25:35.191,1461,RECV,2E37330D0A39352E37330D0A39352E30300D0A39352E30300D0A39352E30300D0A39352E30300D0A39342E37350D
01-07-2020 18:25:35.191,1462,RECV,0A39342E37350D0A39342E37350D0A39342E37350D0A39342E37350D0A39342E33380D0A39342E33380D0A39342E
01-07-2020 18:25:35.215,1463,RECV,33380D0A39342E33380D0A39342E33380D0A39342E33380D0A39342E33380D0A39342E33380D0A39342E33380D0A39342E30330D0A39342E30330D0A3934
01-07-2020 18:25:35.267,1464,RECV,2E30330D0A39342E30330D0A39342E30330D0A39342E30330D0A39342E30330D0A39342E30330D0A39342E30330D
01-07-2020 18:25:35.383,1465,RECV,0A39342E30330D0A39342E30330D0A39342E30330D0A39342E30330D0A39342E30330D0A39342E30330D0A39342E
01-07-2020 18:25:35.383,1466,RECV,30330D0A39342E30330D0A39342E30330D0A39342E30330D0A39342E30330D0A39342E30330D0A39342E30330D0A
01-07-2020 18:25:44.211,1467,RECV,0A31
01-07-2020 18:25:44.263,1468,RECV,31382E31320D0A3131382E31320D0A3131382E31320D0A3131382E31320D0A3131382E32390D0A3131382E32390D0A3131382E32390D0A3131382E32390D
01-07-2020 18:25:44.383,1469,RECV,0A3131382E38360D0A3131382E38360D0A3131382E38360D0A3131382E38360D0A313139
01-07-2020 18:25:47.071,1470,RECV,2E34330D0A3132382E34330D0A3132382E34330D0A3132382E34330D0A3132382E34330D0A3132382E34330D0A
01-07-2020 18:25:47.123,1471,RECV,3132382E34330D0A3132382E37350D0A3132382E37350D0A3132382E37350D0A3132382E37350D0A3132382E3439
01-07-2020 18:25:47.243,1472,RECV,0D0A3132382E34390D0A3132382E34390D0A3132382E34390D0A3132382E37320D0A3132382E37320D
01-07-2020 18:25:47.243,1473,RECV,0A3132382E37320D0A3132382E37320D0A3132382E32320D0A3132382E32320D0A3132382E32320D0A3132382E32320D0A3132382E32320D0A3132382E
01-07-2020 18:25:47.279,1474,RECV,32320D0A3132382E32320D0A3132382E34350D0A3132382E35390D0A3132382E35390D0A3132382E35390D0A313238
01-07-2020 18:25:47.331,1475,RECV,2E35390D0A3132382E35390D0A3132382E35390D0A3132382E35390D0A3132382E35390D0A3132382E35390D0A31
01-07-2020 18:25:47.427,1476,RECV,32382E35390D0A3132382E35390D0A3132382E37320D0A3132382E37320D0A3132382E37320D0A3132382E37320D
01-07-2020 18:25:47.435,1477,RECV,0A3132382E37320D0A3132382E37320D0A3132382E37320D0A3132382E37320D0A3132382E37320D0A3132382E37320D0A3132382E37320D0A3132382E
01-07-2020 18:25:47.487,1478,RECV,37320D0A3132392E32320D0A3132392E32320D0A3132392E32320D0A3132392E32320D0A3132392E37320D0A3132
01-07-2020 18:25:47.611,1479,RECV,392E37320D0A3132392E37320D0A3132392E37320D0A3133302E31300D0A3133302E31300D0A3133302E31300D0A31
01-07-2020 18:25:47.611,1480,RECV,33302E31300D0A3133302E36390D0A3133302E36390D0A3133302E36390D0A3133302E36390D0A3133302E36390D
01-07-2020 18:25:47.643,1481,RECV,0A3133302E36390D0A3133302E36390D0A3133302E36390D0A3133302E39330D0A3133302E39330D0A3133302E39330D0A3133312E31360D0A3133312E
01-07-2020 18:25:47.695,1482,RECV,31360D0A3133312E31360D0A3133312E31360D0A3133312E37350D0A3133312E37350D0A3133312E37350D0A3133
01-07-2020 18:25:47.799,1483,RECV,312E37350D0A3133312E34300D0A3133312E34300D0A3133312E34300D0A3133312E34300D0A3133312E34300D0A31
01-07-2020 18:25:47.799,1484,RECV,33312E34300D0A3133312E34300D
01-07-2020 18:25:48.059,1485,RECV,2E30310D0A3133312E
01-07-2020 18:25:48.111,1486,RECV,30310D0A3133312E30310D0A3133312E30310D0A3133312E30310D0A3133312E30310D0A3133312E30310D0A3133
01-07-2020 18:25:48.219,1487,RECV,312E30310D0A3133312E30310D0A3133312E30310D0A3133312E30310D0A3133312E38370D0A3133312E38370D
01-07-2020 18:25:48.371,1488,RECV,0A31
01-07-2020 18:25:48.423,1489,RECV,33322E39310D0A3133322E39310D0A3133322E39310D0A3133322E39310D0A3133332E30330D0A3133332E30330D
01-07-2020 18:25:48.475,1490,RECV,0A3133332E30330D0A3133332E30330D0A3133332E30330D0A3133332E30330D0A3133332E30330D0A3133332E30330D0A313333
01-07-2020 18:25:48.571,1491,RECV,2E30330D0A3133332E30330D0A3133332E30330D0A3133332E30330D0A3133332E35390D0A3133332E35390D0A
01-07-2020 18:25:48.579,1492,RECV,3133332E35390D0A3133332E35390D0A3133332E38320D0A3133332E38320D0A3133332E38320D0A3133332E3832
01-07-2020 18:25:48.631,1493,RECV,0D0A3133342E31380D0A3133342E31380D0A3133342E31380D0A3133342E31380D0A3133342E34320D0A3133342E
01-07-2020 18:25:48.751,1494,RECV,34320D0A3133342E34320D0A3133342E34320D0A3133342E34320D0A3133342E34320D0A3133342E34320D0A3133342E38390D0A3133342E37390D0A3133
01-07-2020 18:25:48.751,1495,RECV,342E37390D0A3133342E37390D0A3133342E35350D0A3133342E35350D0A3133342E35350D0A3133
01-07-2020 18:25:48.787,1496,RECV,342E35350D0A3133342E34370D0A3133342E34370D0A3133342E34370D0A3133342E34370D0A3133342E36310D0A
01-07-2020 18:25:48.839,1497,RECV,3133342E36310D0A3133342E36310D
01-07-2020 18:25:49.047,1498,RECV,0A3133332E39390D0A3133332E39390D0A3133332E39390D0A3133332E39390D0A3133332E
01-07-2020 18:25:49.127,1499,RECV,39390D0A3133332E39390D0A3133332E39390D0A3133332E37340D0A3133332E38350D0A3133332E38350D0A3133332E38350D0A3133332E36300D0A31
01-07-2020 18:25:49.151,1500,RECV,3333
