01-07-2020 18:23:18.142,-,AT," ,0013A20040F7BEFB,XBEE 802.15.4,10EF,COM4 - 9600/8/N/1/N,1"
01-07-2020 18:23:08.095,2506,RECV,370D0A35382E39370D0A35382E39370D0A35382E39370D0A35392E35360D0A35392E35360D0A35392E35360D0A3539
01-07-2020 18:23:08.219,2507,RECV,2E35360D0A35392E35360D0A35392E36310D0A35392E36310D0A35392E36310D0A35392E36310D0A35392E39330D
01-07-2020 18:23:08.219,2508,RECV,0A35392E39330D0A35392E39330D0A35392E39330D0A35392E39330D0A35392E32390D0A35392E32390D0A35392E
01-07-2020 18:23:08.251,2509,RECV,32390D0A35392E32390D0A35392E39380D0A35392E39380D0A35392E39380D0A35392E39380D0A35392E39380D0A35392E39330D0A35392E39330D0A35
01-07-2020 18:23:08.303,2510,RECV,392E39330D0A35392E39330D0A35392E39330D0A35392E39330D0A35392E
01-07-2020 18:23:09.031,2511,RECV,34310D0A35392E3038
01-07-2020 18:23:09.083,2512,RECV,0D0A35392E30380D0A35392E30380D0A35392E30380D0A35392E37390D0A35392E37390D0A35392E37390D0A35392E37390D0A35392E37390D0A35382E
01-07-2020 18:23:09.223,2513,RECV,37350D0A35382E37350D0A35382E37350D0A35382E37350D0A35382E3836
01-07-2020 18:23:09.291,2514,RECV,35372E31390D0A35372E31390D0A35372E31390D0A35372E31390D0A35372E31390D0A35372E31390D0A35372E31390D0A35372E31390D0A35372E31
01-07-2020 18:23:09.411,2515,RECV,390D0A35372E31390D0A35372E31390D0A35372E31390D0A35372E31390D0A35372E31390D0A35372E31390D0A35
01-07-2020 18:23:09.411,2516,RECV,372E31390D0A35372E31390D0A35372E31390D0A35372E31390D0A35372E31390D0A35372E31390D0A35372E3139
01-07-2020 18:23:09.447,2517,RECV,0D0A35372E31390D0A35372E31390D0A35372E31390D0A35372E31390D0A35372E31390D0A35372E31390D0A3537
01-07-2020 18:23:09.499,2518,RECV,2E31390D0A35372E31390D0A35342E35360D0A35342E35360D0A35342E35360D0A35342E35360D0A35342E34380D0A35332E38340D0A35332E38340D0A35
01-07-2020 18:23:09.591,2519,RECV,332E38340D0A35332E38340D0A35322E37310D0A35322E37310D0A35322E37310D0A35322E37310D0A35322E3731
01-07-2020 18:23:09.603,2520,RECV,0D0A35332E30330D0A35332E30330D0A35332E30330D0A35332E30330D0A35322E34300D0A35322E34300D0A3532
01-07-2020 18:23:09.655,2521,RECV,2E34300D0A35322E34300D0A35322E37310D0A35322E37310D0A35322E37310D0A35322E37310D0A35322E37310D
01-07-2020 18:23:09.791,2522,RECV,0A35312E37370D0A35312E37370D0A35312E37370D0A35312E37370D0A35322E35330D0A35322E35330D0A35322E35330D0A35322E35330D0A35322E3533
01-07-2020 18:23:09.791,2523,RECV,0D0A35312E35370D0A35312E35370D0A35312E35370D0A35312E35370D0A35312E35370D0A35312E
