01-07-2020 13:59:07.039,-,AT," ,0013A20040F7BEFB,XBEE 802.15.4,10EF,COM3 - 9600/8/N/1/N,1,23"
01-07-2020 13:59:00.045,212,RECV,34362E33300D0A34352E33330D0A34352E33330D0A34352E33330D0A34352E33330D0A34342E36380D0A34342E36
01-07-2020 13:59:00.096,213,RECV,380D0A34342E36380D0A34342E36380D0A34342E33330D0A34342E33330D0A34342E33330D0A34342E33330D0A34342E33330D0A34342E33330D0A3434
01-07-2020 13:59:00.164,214,RECV,2E33330D0A34342E33330D0A34342E33330D0A34342E31390D0A34342E31390D0A34342E31390D0A34342E31390D
01-07-2020 13:59:00.197,215,RECV,0A34352E32380D0A34352E32380D0A34352E32380D0A34352E32380D0A34352E32380D0A34352E32380D0A34352E32
01-07-2020 13:59:00.248,216,RECV,380D0A34352E32380D0A34352E32380D0A34362E36330D0A34362E36330D0A34362E36330D0A34362E36330D0A34
01-07-2020 13:59:00.327,217,RECV,352E39380D0A34352E39380D0A34352E39380D0A34352E39380D0A34352E39380D0A34352E39380D0A34352E3938
01-07-2020 13:59:00.350,218,RECV,0D0A34352E39380D0A34352E39380D0A34342E38360D0A34342E38360D0A34342E38360D0A34342E38360D0A3434
01-07-2020 13:59:00.401,219,RECV,2E31390D0A34342E31390D0A34342E31390D0A34342E31390D0A34342E31390D0A34342E31390D0A34342E31390D0A34342E31390D0A34342E31390D0A
01-07-2020 13:59:00.471,220,RECV,34342E31390D0A34342E31390D0A34342E31390D0A34342E31390D0A34352E36300D0A34352E36300D0A34352E3630
01-07-2020 13:59:00.502,221,RECV,0D0A34352E36300D0A34352E36300D0A34352E36300D0A34352E36300D0A34352E36300D0A34352E36300D
01-07-2020 13:59:00.553,222,RECV,0A34362E32340D0A34362E32340D0A34362E32340D0A34362E32340D0A34362E34340D0A34362E34340D0A34
01-07-2020 13:59:00.633,223,RECV,362E34340D0A34362E34340D0A34362E34340D0A34362E34340D0A34362E34340D0A34362E34340D0A34362E3434
01-07-2020 13:59:00.654,224,RECV,0D0A34352E30300D0A34352E30300D0A34352E30300D0A34352E30300D0A34342E35310D0A34342E35310D0A34342E
01-07-2020 13:59:00.705,225,RECV,35310D0A34342E35310D0A34342E35310D0A34342E35310D0A34342E35310D0A34342E35310D0A34342E35310D0A34342E33330D0A34342E33330D0A34
01-07-2020 13:59:00.775,226,RECV,342E33330D0A34342E33330D0A34352E32380D0A34352E32380D0A34352E32380D0A34352E32380D0A34352E3238
01-07-2020 13:59:00.806,227,RECV,0D0A34352E32380D0A34352E32380D0A34352E32380D0A34352E32380D0A34362E33300D0A34362E33300D0A3436
01-07-2020 13:59:00.856,228,RECV,2E33300D0A34362E33300D0A34362E33300D0A34362E33300D0A34362E33300D0A34362E33300D0A34362E33300D0A
01-07-2020 13:59:00.917,229,RECV,34362E33300D0A34362E33300D0A34362E33300D0A34362E33300D0A34352E37390D0A34352E37390D0A34352E37
01-07-2020 13:59:00.957,230,RECV,390D0A34352E37390D0A34352E37390D0A34352E37390D0A34352E37390D0A34352E37390D0A34362E30350D0A34
01-07-2020 13:59:01.113,231,RECV,342E31360D0A34342E31360D0A34342E31360D0A34342E31360D0A34342E31360D0A34342E31360D0A34342E31360D0A34342E31360D0A34342E31360D
01-07-2020 13:59:01.114,232,RECV,0A34342E31360D0A34342E31360D0A34342E31360D0A34332E38380D0A34352E31340D0A34352E31340D0A34352E
01-07-2020 13:59:01.114,233,RECV,31340D0A34352E31340D0A34352E36350D0A34352E36350D0A34352E36350D0A34352E36350D0A34352E36350D0A34
01-07-2020 13:59:01.161,234,RECV,352E36350D0A34352E36350D0A34352E36350D0A34352E36350D0A34352E36350D0A34352E36350D0A34352E3635
01-07-2020 13:59:01.287,235,RECV,0D0A34352E36350D0A34352E30300D0A34352E30300D0A34352E30300D0A34352E30300D0A34352E30300D0A3435
01-07-2020 13:59:01.287,236,RECV,2E30300D0A34352E30300D0A34352E30300D0A34352E32380D0A34342E30320D0A34342E30320D0A34342E30320D
01-07-2020 13:59:01.311,237,RECV,0A34342E30320D0A34332E35360D0A34332E35360D0A34332E35360D0A34332E35360D0A34332E35360D0A34332E
01-07-2020 13:59:01.362,238,RECV,35360D0A34332E35360D0A34332E35360D0A34332E35360D0A34342E38320D0A34342E38320D0A34342E38320D0A34342E38320D0A34352E39380D0A3435
01-07-2020 13:59:01.432,239,RECV,2E39380D0A34352E39380D0A34352E39380D0A34352E39380D0A34352E39380D0A34352E39380D0A34352E39380D
